Unnamed: 0,gameweek,home_team,home_score,home_xg,away_team,away_score,away_xg,referee,season
294,28,Ipswich Town,1,0,QPR,1,0,Roger Milford,1992
295,28,Everton,1,0,Tottenham,2,0,Keren Barratt,1992
296,28,Arsenal,0,0,Wimbledon,1,0,Philip Don,1992
297,28,Crystal Palace,1,0,Aston Villa,0,0,Ken Redfern,1992
298,28,Chelsea,0,0,Liverpool,0,0,John Martin,1992
299,28,Southampton,3,0,Norwich City,0,0,Joe Worrall,1992
300,29,Leeds United,2,0,Oldham Athletic,0,0,Roger Dilkes,1992
301,29,Chelsea,0,0,Aston Villa,1,0,Mike Peck,1992
302,29,Southampton,2,0,Liverpool,1,0,Alf Buksh,1992
303,30,Norwich City,2,0,Manchester City,1,0,Brian Hill,1992
304,30,Middlesbrough,1,0,Nott'ham Forest,2,0,David Elleray,1992
305,30,Tottenham,4,0,Leeds United,0,0,Gerald Ashby,1992
306,30,Aston Villa,2,0,Everton,1,0,Tony Ward,1992
307,30,Wimbledon,2,0,Sheffield Utd,0,0,Robbie Hart,1992
308,30,Sheffield Weds,2,0,Crystal Palace,1,0,Mike Reed,1992
309,30,Liverpool,0,0,Ipswich Town,0,0,Alan Gunn,1992
310,30,Oldham Athletic,0,0,Arsenal,1,0,Keith Hackett,1992
311,30,QPR,2,0,Coventry City,0,0,Paul Durkin,1992
312,30,Manchester Utd,2,0,Southampton,1,0,Raymond Lewis,1992
313,30,Blackburn,2,0,Chelsea,0,0,David Allison,1992
314,22,Sheffield Utd,2,0,Oldham Athletic,0,0,Gerald Ashby,1992
315,28,Manchester City,1,0,Sheffield Weds,2,0,Martin Bodenham,1992
316,21,Nott'ham Forest,1,0,QPR,0,0,Rodger Gifford,1992
317,33,Arsenal,0,0,Leeds United,0,0,Ken Redfern,1992
318,31,Nott'ham Forest,0,0,Manchester City,2,0,Alf Buksh,1992
319,31,Crystal Palace,0,0,Coventry City,0,0,Peter Foakes,1992
320,31,Leeds United,1,0,Ipswich Town,0,0,Mike Reed,1992
321,31,Southampton,3,0,Sheffield Utd,2,0,Jim Borrett,1992
322,31,Tottenham,3,0,QPR,2,0,David Elleray,1992
323,31,Everton,2,0,Oldham Athletic,2,0,Keith Cooper,1992
