"ID","Player","Team","Position","RkOv","Status","Opponent","FPts","FP/G","%D","ADP","Ros %","GP","Min","G","KP","AT","SOT","TkW","DIS","YC","RC","ACNC","Int","CLR","CoS","BS","AER","PKM","PKD","OG","GAO","CS"
"*05o4b*","Matty Cash","AVL","D","100","W (Fri)","@NEW Sat 9:30AM","0","0","100%","117.25","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05os8*","Joachim Andersen","CRY","D","27","W (Fri)","@SHU Sat 7:00AM","0","0","50%","118","75%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*0558w*","William Saliba","ARS","D","509","W (Fri)","NOT Sat 4:30AM","0","0","100%","118.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04ge6*","Joe Willock","NEW","M","619","W (Fri)","AVL Sat 9:30AM","0","0","100%","119","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04mdn*","Anthony Gordon","NEW","M,F","228","W (Fri)","AVL Sat 9:30AM","0","0","75%","119.67","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*04f67*","Philip Billing","BOU","M,F","69","W (Fri)","WHU Sat 7:00AM","0","0","100%","119.75","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*063y7*","Iyenoma Destiny Udogie","TOT","D","592","W (Fri)","@BRF Sun 6:00AM","0","0","100%","120","50%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*06cm1*","Nicolas Jackson","CHE","F","281","W (Fri)","LIV Sun 8:30AM","0","0","50%","121","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*05tr9*","Mathias Jensen","BRF","M","285","W (Fri)","TOT Sun 6:00AM","0","0","100%","121","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*051k8*","Conor Gallagher","CHE","M,F","210","W (Fri)","LIV Sun 8:30AM","0","0","100%","122","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"*062p5*","Levi Colwill","CHE","D","119","W (Fri)","LIV Sun 8:30AM","0","0","75%","122.33","100%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
