Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros,ProjMins,ProjGS
Alphonse Areola,7.0,7.0,G,WHU,@LUT,40%,90,1
Sam Johnstone,7.0,7.0,G,CRY,WOL,26%,90,1
James Trafford,7.0,7.0,G,BUR,TOT,20%,90,1
Bart Verbruggen,7.0,7.0,G,BHA,NEW,20%,90,1
Matt Turner,7.0,7.0,G,NOT,@CHE,19%,90,1
Neto,7.0,7.0,G,BOU,@BRF,17%,90,1
Wes Foderingham,7.0,7.0,G,SHU,EVE,12%,90,1
Thomas Kaminski,7.0,7.0,G,LUT,WHU,6%,90,1
David Raya,7.0,7.0,G,ARS,MUN,48%,90,0
Jason Steele,7.0,7.0,G,BHA,NEW,35%,90,0
Joao Virginia,7.0,7.0,G,EVE,@SHU,13%,90,0
James Shea,7.0,7.0,G,LUT,WHU,10%,90,0
Robin Olsen,7.0,7.0,G,AVL,@LIV,10%,90,0
Lukasz Fabianski,7.0,7.0,G,WHU,@LUT,7%,90,0
Dean Henderson,7.0,7.0,G,MUN,@ARS,3%,90,0
Stefan Ortega Moreno,7.0,7.0,G,MCI,FUL,2%,90,0
Arijanet Muric,7.0,7.0,G,BUR,TOT,1%,90,0
Fraser Forster,7.0,7.0,G,TOT,@BUR,1%,90,0
Martin Dubravka,7.0,7.0,G,NEW,@BHA,1%,90,0
Caoimhin Kelleher,7.0,7.0,G,LIV,AVL,1%,90,0
Vicente Guaita,7.0,7.0,G,CRY,WOL,1%,90,0
Hugo Lloris,7.0,7.0,G,TOT,@BUR,1%,90,0
Thomas Strakosha,7.0,7.0,G,BRF,BOU,1%,90,0
Jordan Amissah,7.0,7.0,G,SHU,EVE,0%,90,0
Marcus Bettinelli,7.0,7.0,G,CHE,NOT,0%,90,0
Marek Rodak,7.0,7.0,G,FUL,@MCI,0%,90,0
Tim Krul,7.0,7.0,G,LUT,WHU,0%,90,0
Daniel Bentley,7.0,7.0,G,WOL,@CRY,0%,90,0
Ethan Horvath,7.0,7.0,G,NOT,@CHE,0%,90,0
Edson Alvarez,7.0,5.7,M,WHU,@LUT,20%,83,1
Daniel Jebbison,7.0,4.2,F,SHU,EVE,0%,65,0
Keane Lewis-Potter,7.0,3.7,F,BRF,BOU,1%,61,0
Hugo Bueno,6.9,7.2,D,WOL,@CRY,5%,82,1
Yves Bissouma,6.9,6.0,M,TOT,@BUR,76%,84,1
Stefan Bajcetic,6.9,6.0,M,LIV,AVL,2%,78,0
Idrissa Gueye,6.9,5.7,M,EVE,@SHU,6%,80,1
Felipe,6.8,10.2,D,NOT,@CHE,21%,87,0
Jan-Paul van Hecke,6.8,8.6,D,BHA,NEW,12%,87,0
Mads Roerslev,6.8,6.5,D,BRF,BOU,2%,86,0
Kieran Tierney,6.8,6.2,D,ARS,MUN,4%,85,0
Cheikhou Kouyate,6.8,5.7,M,NOT,@CHE,0%,71,0
Daniel Podence,6.8,5.5,F,WOL,@CRY,3%,75,0
Kieffer Moore,6.8,3.6,F,BOU,@BRF,1%,86,0
Kyle Walker,6.8,3.3,D,MCI,FUL,93%,86,1
Micky van de Ven,6.7,6.6,D,TOT,@BUR,58%,90,1
Jonny,6.7,6.5,D,WOL,@CRY,0%,86,0
Chris Wood,6.7,4.7,F,NOT,@CHE,2%,78,0
Hannes Delcroix,6.6,8.5,D,BUR,TOT,1%,80,1
Tyrick Mitchell,6.6,5.8,D,CRY,WOL,31%,85,1
Vitaly Janelt,6.6,5.0,M,BRF,BOU,9%,83,1
Ruben Dias,6.6,3.2,D,MCI,FUL,97%,86,1
Eric Dier,6.5,6.6,D,TOT,@BUR,4%,90,0
William Saliba,6.5,6.4,D,ARS,MUN,100%,90,1
Ibrahima Konate,6.5,6.0,D,LIV,AVL,86%,90,0
Danilo,6.5,5.9,M,NOT,@CHE,23%,77,1
Emerson Royal,6.5,5.6,D,TOT,@BUR,50%,83,0
Jordan Beyer,6.4,8.0,D,BUR,TOT,15%,73,0
Zeki Amdouni,6.4,5.1,F,BUR,TOT,18%,64,1
Adama Traore,6.3,5.1,F,FUL,@MCI,21%,75,1
Sandro Tonali,6.3,5.0,M,NEW,@BHA,99%,79,1
Youri Tielemans,6.3,4.4,M,AVL,@LIV,68%,84,0
Toti,6.2,7.0,D,WOL,@CRY,0%,87,0
Ben White,6.2,5.9,D,ARS,MUN,96%,86,1
