Player,ProjFPts,ProjGPts,Pos,Team,Opp,Ros%,ProjMins,ProjGS
Charlie Taylor,2.0,4.5,D,BUR,MUN,1,90,1
Micky van de Ven,1.9,5.2,D,TOT,@ARS,76,90,1
Illia Zabarnyi,1.8,6.8,D,BOU,@BHA,6,90,1
Max Aarons,1.8,6.0,D,BOU,@BHA,6,86,1
Pau Torres,1.8,4.2,D,AVL,@CHE,63,90,1
Angelo Ogbonna,1.6,6.1,D,WHU,@LIV,0,89,0
Orel Mangala,1.6,1.2,M,NOT,@MCI,1,77,0
Oliver Skipp,1.6,0.9,M,TOT,@ARS,1,81,0
Calvin Bassey,1.5,3.1,D,FUL,@CRY,2,82,0
Emerson Royal,1.3,3.8,D,TOT,@ARS,25,83,0
Moussa Niakhate,0.7,5.9,D,NOT,@MCI,0,85,0
Adam Smith,0.5,4.4,D,BOU,@BHA,0,81,0
Jack Robinson,0.5,3.8,D,SHU,NEW,2,86,1
Joe Worrall,0.2,5.3,D,NOT,@MCI,10,87,1
Scott McKenna,0.2,5.2,D,NOT,@MCI,19,83,1
Ben Osborn,0.1,0.1,M,SHU,NEW,0,69,0
Serge Aurier,-0.3,4.5,D,NOT,@MCI,61,86,0
Lloyd Kelly,-0.6,4.0,D,BOU,@BHA,0,89,1
Gonzalo Montiel,-0.8,2.0,D,NOT,@MCI,12,52,0
Ola Aina,-1.3,3.0,D,NOT,@MCI,4,78,1
