player,team,minutes_90s_diff,xg_diff,npxg_diff,xg_assist_diff,npxg_xg_assist_diff,goals_per90_diff,assists_per90_diff,goals_assists_per90_diff,goals_pens_per90_diff,goals_assists_pens_per90_diff,xg_per90_diff,xg_assist_per90_diff,xg_xg_assist_per90_diff,npxg_per90_diff,npxg_xg_assist_per90_diff,matches_diff,shots_on_target_pct_diff,shots_per90_diff,shots_on_target_per90_diff,goals_per_shot_diff,goals_per_shot_on_target_diff,average_shot_distance_diff,npxg_per_shot_diff,xg_net_diff,npxg_net_diff,passes_pct_diff,passes_pct_short_diff,passes_pct_medium_diff,passes_pct_long_diff,pass_xa_diff,xg_assist_net_diff,sca_per90_diff,gca_per90_diff,challenge_tackles_pct_diff,take_ons_won_pct_diff,take_ons_tackled_pct_diff,minutes_pct_diff,minutes_per_start_diff,minutes_per_sub_diff,points_per_game_diff,plus_minus_per90_diff,plus_minus_wowy_diff,on_xg_for_diff,on_xg_against_diff,xg_plus_minus_diff,xg_plus_minus_per90_diff,xg_plus_minus_wowy_diff,aerials_won_pct_diff,games_starts_diff,minutes_diff
Tahith Chong,Luton Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0
Ryan Christie,Bournemouth,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.02,-0.03,-0.01,-0.03,,0.0,-0.6600000000000001,-0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,-6.599999999999994,2.4000000000000057,-6.700000000000003,-25.0,0.0,0.0,0.04999999999999982,0.0,-25.0,0.0,0.0,-2.200000000000003,-2.0,,-0.5,-0.7499999999999998,1.2700000000000005,0.2,2.9000000000000004,-2.6,-1.5,-1.4000000000000004,0.0,1,62
Carney Chukwuemeka,Chelsea,0.4999999999999999,0.1,0.1,0.1,0.2,0.72,0.0,0.72,0.72,0.72,0.08,0.09,0.16,0.08,0.16,,100.0,0.72,0.72,1.0,1.0,12.3,0.11,0.9,0.9,-3.4000000000000057,-2.1999999999999886,-5.700000000000003,0.0,0.0,-0.1,0.6299999999999999,1.44,0.0,20.0,-20.0,-19.5,-17.0,,-0.5,0.0,3.27,2.1,0.8,1.4,0.9500000000000001,1.8499999999999999,0.0,1,45
Nathan Collins,Brentford,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,,0.0,0.5,0.0,0.0,,4.3,0.12,-0.1,-0.1,4.800000000000011,0.0,8.099999999999994,11.5,0.2,0.0,-0.5,0.0,0.0,66.7,0.0,0.0,0.0,,1.0,1.5,,3.7,0.3999999999999999,3.1999999999999997,1.12,,8.899999999999999,1,90
Levi Colwill,Chelsea,1.0,0.1,0.1,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.03,-0.14999999999999997,-0.12,0.03,-0.12,,0.0,0.5,0.0,0.0,,1.299999999999999,-0.009999999999999995,-0.1,-0.1,0.7000000000000028,2.1999999999999886,-4.900000000000006,-11.100000000000001,0.0,0.0,-0.5,0.0,,0.0,0.0,0.0,0.0,,-0.5,-1.0,,2.4,1.8,0.7000000000000001,0.30000000000000004,,0.0,1,90
Maxwel Cornet,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,-0.5000000000000001,,0.0,0.0,0.0,-1.01,0.0,0.0,0.0,0.0,0.21999999999999997,0.0,0,0
Vladimir Coufal,West Ham,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.03,0.0,-0.03,,,0.0,0.0,,,,,0.0,0.0,-2.799999999999997,6.200000000000003,-5.8999999999999915,-1.9000000000000021,0.0,0.0,-0.5,0.0,-33.3,0.0,0.0,0.0,0.0,,1.0,1.0,,1.7999999999999998,2.5,-0.6000000000000001,-0.20999999999999996,,-50.0,1,90
Philippe Coutinho,Aston Villa,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,0.0,-1.2,-1.2,-1.2,,33.3,-11.7,3.6,0.0,0.0,13.7,-0.03,0.0,0.0,5.5,-4.700000000000003,22.200000000000003,,0.0,0.0,-15.3,0.0,0.0,-20.0,20.0,9.5,,9.0,1.5,22.5,19.36,0.6000000000000001,0.0,0.6,6.88,5.26,,0,21
Josh Cullen,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0,0
Matheus Cunha,Wolves,1.0,0.4,0.4,0.5,1.1,0.0,0.0,0.0,0.0,0.0,-0.13,0.27,0.16000000000000003,-0.13,0.16000000000000003,,13.299999999999997,-2.67,-0.09999999999999987,0.0,0.0,-2.0999999999999996,0.06000000000000001,-0.4,-0.4,-4.900000000000006,-3.799999999999997,5.0,0.0,0.4,-0.5,-0.5,0.54,100.0,-11.099999999999994,11.1,7.799999999999997,7.0,,0.0,-0.99,-0.99,2.1,2.2,-0.09999999999999998,0.05000000000000002,0.050000000000000044,-16.700000000000003,1,90
Mahmoud Dahoud,Brighton,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000002,0.009999999999999981,0.0,-0.010000000000000002,0.0,,0.0,-0.30000000000000027,0.0,0.0,,0.0,0.0,0.0,0.0,-0.8999999999999915,-1.4000000000000057,-1.7000000000000028,-10.700000000000003,0.0,0.0,0.6399999999999997,-0.1499999999999999,33.3,,,-34.99999999999999,0.0,10.0,0.0,-0.30000000000000027,1.29,0.10000000000000009,0.19999999999999996,-0.09999999999999987,-0.3800000000000001,2.3200000000000003,,0,10
Ameen Al-Dakhil,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0,0
Mikkel Damsgaard,Brentford,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04000000000000001,0.0,-0.04000000000000001,-0.04000000000000001,-0.04000000000000001,,0.0,-0.4700000000000002,-0.4700000000000002,0.0,0.0,0.0,0.0,0.0,0.0,-10.700000000000003,-25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,-16.700000000000003,,-15.0,1.0,1.67,0.24,1.3,0.09999999999999998,1.2,2.06,1.7999999999999998,,0,12
Danilo,Nott'ham Forest,1.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0.1,0.07,0.1,,0.0,1.13,0.0,0.0,,24.8,0.06,-0.1,-0.1,23.000000000000007,18.5,9.0,30.300000000000004,0.1,-0.1,1.13,0.0,0.0,-50.0,50.0,10.5,10.0,,1.5,2.0,2.2200000000000006,1.4,0.5,0.9,0.56,0.6500000000000001,16.700000000000003,1,89
Arnaut Danjuma,Everton,0.6000000000000001,0.2,0.2,0.0,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.23,-0.52,-0.29,0.23,-0.29,,25.0,5.0,1.25,0.0,0.0,16.8,0.05,-0.2,-0.2,22.599999999999994,-10.0,40.0,-50.0,0.1,0.0,5.0,0.0,,50.0,-75.0,18.9,,17.0,0.0,0.9900000000000002,2.66,0.5,1.2,-0.7000000000000001,2.22,4.470000000000001,0.0,0,53
Craig Dawson,Wolves,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.010000000000000009,-0.03,-0.009999999999999995,0.010000000000000009,-0.009999999999999995,,33.3,0.69,0.56,0.0,0.0,7.799999999999999,-0.019999999999999997,0.0,0.0,1.2000000000000028,0.0,-2.5999999999999943,-5.0,0.0,0.0,0.0,0.0,-25.0,100.0,0.0,-11.099999999999994,-10.0,,0.0,-1.25,-2.25,1.7999999999999998,2.0999999999999996,-0.3,-0.19999999999999998,-1.05,0.0,1,70
Kevin De Bruyne,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-12.2,0.0,,0.0,0.0,0.94,0.0,0.0,0.0,0.0,0.61,,0,0
Moussa Diaby,Aston Villa,0.7,0.3,0.3,0.39999999999999997,0.7000000000000001,-0.45000000000000007,0.0,-0.45000000000000007,-0.45000000000000007,-0.45000000000000007,0.07,0.07999999999999996,0.16000000000000003,0.07,0.16000000000000003,,0.0,0.48,0.33000000000000007,-0.16,-0.25,1.8999999999999986,0.010000000000000009,-0.29999999999999993,-0.29999999999999993,-1.0999999999999943,5.199999999999989,0.0,0.0,0.19999999999999998,-0.39999999999999997,0.040000000000000036,0.6,0.0,-50.0,50.0,-12.799999999999997,-11.0,,1.5,3.14,-19.36,2.2,0.6000000000000001,1.7000000000000002,1.6199999999999999,-5.03,0.0,1,63
Luis Diaz,Liverpool,1.0,0.5,0.5,0.09999999999999998,0.6000000000000001,-0.05999999999999983,0.0,-0.05999999999999983,-0.05999999999999983,-0.05999999999999983,-0.29000000000000004,-0.010000000000000009,-0.29999999999999993,-0.29000000000000004,-0.29999999999999993,,3.6000000000000014,-0.8300000000000001,-0.05999999999999983,0.03999999999999998,0.0,1.5999999999999996,-0.03,0.49999999999999994,0.49999999999999994,-6.700000000000003,-14.299999999999997,-4.299999999999997,0.0,0.3,-0.09999999999999998,1.9699999999999998,0.0,0.0,4.700000000000003,-4.699999999999996,5.0,5.0,,1.0,1.12,1.12,3.0999999999999996,1.0,2.0,1.2200000000000002,2.59,33.3,1,85
Lucas Digne,Aston Villa,1.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.01,-0.010000000000000009,0.0,0.01,0.0,,0.0,0.5,0.0,0.0,,14.3,0.02,0.0,0.0,2.700000000000003,2.799999999999997,7.299999999999997,-26.700000000000003,0.0,-0.2,-1.5,0.0,10.0,25.0,25.0,0.0,0.0,,1.5,4.0,,2.9000000000000004,0.7000000000000002,2.3,1.9300000000000002,,-25.0,1,90
Issa Diop,Fulham,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,,0.0,1.0,0.0,0.0,,18.3,0.06,-0.1,-0.1,-1.3999999999999915,-4.0,0.0,-8.299999999999997,0.0,0.0,0.5,0.0,16.700000000000003,,,0.0,0.0,,-1.5,-2.0,,0.5,3.7,-3.2,-0.99,,-6.700000000000003,1,90
Axel Disasi,Chelsea,1.0,0.0,0.0,0.0,0.0,-0.5,0.0,-0.5,-0.5,-0.5,-0.22999999999999998,0.0,-0.22999999999999998,-0.22999999999999998,-0.22999999999999998,,0.0,-1.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,-1.2999999999999972,-1.0,-3.3999999999999915,-9.399999999999999,0.0,0.0,0.0,0.0,100.0,,,0.0,0.0,,-0.5,-1.0,,2.4,1.8,0.7000000000000001,0.30000000000000004,,0.0,1,90
Ben Doak,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,-7.8,,0.0,0.0,0.0,-1.08,0.0,0.0,0.0,0.0,-1.04,,0,0
Lewis Dobbin,Everton,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,,,0.0,0.0,,,,,0.0,0.0,-2.0,-10.0,40.0,0.0,0.0,0.0,-19.1,0.0,33.3,60.0,40.0,20.5,,19.0,0.0,-3.4,-2.37,0.39999999999999997,1.1,-0.7,-2.63,-1.1400000000000001,,0,45
Gabriel Dos Santos,Arsenal,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,13.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,,,8.8,,8.0,0.0,0.0,-0.10999999999999988,0.0,0.7,-0.7,-5.21,-6.43,0.0,0,21
Abdoulaye Doucoure,Everton,1.0,0.09999999999999998,0.09999999999999998,0.0,0.10000000000000009,0.0,0.0,0.0,0.0,0.0,-0.23000000000000004,-0.39000000000000007,-0.6299999999999999,-0.23000000000000004,-0.6299999999999999,,-16.700000000000003,-0.49,-0.5,0.0,0.0,-0.9000000000000004,-0.060000000000000026,-0.09999999999999998,-0.09999999999999998,-0.4000000000000057,3.8999999999999915,-10.5,50.0,0.0,0.0,-0.9900000000000002,0.0,25.0,50.0,-50.0,-0.5999999999999943,0.0,,0.0,-1.5099999999999998,-2.51,0.5999999999999996,2.9000000000000004,-2.3,-1.76,-0.54,-8.299999999999997,1,89
Cheick Doucoure,Crystal Palace,1.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.049999999999999996,-0.05,0.0,0.049999999999999996,0.0,,-66.7,0.5,-0.5,0.0,0.0,-9.099999999999998,0.03,-0.1,-0.1,1.1000000000000085,2.5,0.20000000000000284,0.0,0.1,0.0,0.0,0.0,-33.3,100.0,0.0,0.0,0.0,,-1.5,-1.0,,1.0,2.0,-0.9999999999999999,-1.1600000000000001,,10.0,1,90
Alfie Doughty,Luton Town,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Lewis Dunk,Brighton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,0.0,-0.06,-0.06,-0.06,,0.0,-1.0,0.0,0.0,,0.0,0.0,0.0,0.0,-1.5,-1.0999999999999943,-2.5999999999999943,2.1000000000000014,0.0,0.0,-1.5,-0.5,-16.700000000000003,,,0.0,0.0,,0.0,0.0,,2.2,2.0,0.20000000000000018,-1.2,,50.0,1,90
Ederson,Manchester City,1.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.04,,,0.0,0.0,,,,,0.0,0.0,-1.9000000000000057,0.0,-0.9000000000000057,-1.1000000000000014,0.0,-0.1,0.0,0.0,,,,0.0,0.0,,0.0,-1.0,,1.0,0.3,0.6999999999999997,-0.4500000000000002,,,1,90
Odsonne Edouard,Crystal Palace,1.0,0.5,0.5,0.0,0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.27,-0.11000000000000001,-0.36,-0.27,-0.36,,-2.8999999999999986,-2.0,-1.0,-0.04000000000000001,-0.08000000000000002,-0.7000000000000011,0.009999999999999981,-0.5,-0.5,-5.0,0.5999999999999943,0.0,,0.1,0.0,-1.0,0.0,0.0,-16.700000000000003,16.700000000000003,0.0,0.0,,-1.5,-1.0,,1.0,2.0,-0.9999999999999999,-1.1600000000000001,,7.100000000000001,1,90
John Egan,Sheffield Utd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.0,-0.02,-0.02,-0.02,,0.0,-0.5,0.0,0.0,,0.0,0.0,0.0,0.0,28.400000000000006,22.300000000000004,39.400000000000006,-0.6999999999999957,0.0,0.0,0.0,0.0,6.700000000000003,,,0.0,0.0,,0.0,0.0,,0.5,1.4,-0.8999999999999999,0.2400000000000002,,7.199999999999996,1,90
Anthony Elanga,Nott'ham Forest,0.30000000000000004,0.0,0.0,0.0,0.09999999999999998,0.0,-5.449999999999999,-5.449999999999999,0.0,-5.449999999999999,0.09,-3.5399999999999996,-3.4499999999999993,0.09,-3.4499999999999993,,0.0,2.73,0.0,0.0,,21.9,0.03,0.0,0.0,-8.400000000000006,21.400000000000006,-50.0,0.0,0.0,0.0,-13.64,-5.449999999999999,,50.0,50.0,6.100000000000001,,6.0,1.5,-2.7299999999999995,-3.780000000000001,0.30000000000000004,0.29999999999999993,0.0,-1.35,-1.8199999999999998,0.0,0,22
Harvey Elliott,Liverpool,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07999999999999999,-0.07999999999999999,0.0,-0.07999999999999999,,,0.0,0.0,,,,,0.0,0.0,-5.0,-6.3999999999999915,0.0,100.0,0.0,0.0,-3.3299999999999996,0.0,,-50.0,50.0,0.5000000000000018,,1.0,1.0,0.0,-1.19,0.1,0.8,-0.7,-2.46,-4.03,,0,15
Emerson,Tottenham,0.0,0.0,0.0,0.0,0.0,-0.030000000000000027,0.0,-0.030000000000000027,-0.030000000000000027,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,,0.0,-0.030000000000000027,-0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000028,0.20000000000000284,0.5,0.0,0.0,0.0,-0.030000000000000027,0.0,0.0,0.0,0.0,-48.3,0.0,3.0,1.0,0.0,-2.07,0.0,0.19999999999999973,-0.20000000000000007,-0.1200000000000001,-0.9,,0,3
Christian Eriksen,Manchester Utd,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,17.9,9.700000000000003,47.7,50.0,0.0,0.0,0.0,0.0,100.0,,,1.0999999999999979,,1.0,-1.5,-3.91,-3.23,0.30000000000000004,0.5,-0.3,-0.95,-1.5,,0,25
Pervis Estupinan,Brighton,1.0,0.19999999999999998,0.19999999999999998,0.6000000000000001,0.7,0.5,0.0,0.5,0.5,0.5,0.07,-0.51,-0.43999999999999995,0.07,-0.43999999999999995,,-6.700000000000003,-0.5,-0.5,0.2,0.33,-4.699999999999999,0.04000000000000001,0.7999999999999999,0.7999999999999999,-1.4000000000000057,-1.7999999999999972,-1.5,14.299999999999997,0.0,0.4,-4.0,-0.5,-66.7,-66.7,33.3,0.0,0.0,,0.0,0.0,,2.2,2.0,0.20000000000000018,-1.2,,0.0,1,90
Eberechi Eze,Crystal Palace,1.0,0.30000000000000004,0.30000000000000004,0.09999999999999998,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,-0.13,-0.18,-0.30000000000000004,-0.13,-0.30000000000000004,,8.3,-2.0,0.5,0.0,0.0,1.3999999999999986,0.0,-0.30000000000000004,-0.30000000000000004,3.5,3.0,3.799999999999997,-5.600000000000001,0.19999999999999996,-0.09999999999999998,-4.5,0.0,50.0,-16.700000000000003,16.7,0.0,0.0,,-1.5,-1.0,,1.0,2.0,-0.9999999999999999,-1.1600000000000001,,4.399999999999999,1,90
Evan Ferguson,Brighton,0.30000000000000004,0.09999999999999998,0.09999999999999998,0.0,0.09999999999999998,-4.49,0.0,-4.49,-4.49,-4.49,-3.7199999999999998,-0.26,-3.98,-3.7199999999999998,-3.98,,-16.700000000000003,-6.55,-4.49,-0.16999999999999998,0.0,-0.5,-0.12,-0.1,-0.1,-20.0,-12.5,0.0,,0.0,0.0,-2.0599999999999996,0.0,0.0,33.3,-33.3,6.200000000000001,,6.0,0.0,-4.49,-5.3,0.30000000000000004,0.30000000000000004,0.0,-2.9000000000000004,-1.9500000000000002,100.0,0,24
Bruno Fernandes,Manchester Utd,1.0,0.9,0.9,0.6000000000000001,1.5000000000000002,0.0,0.0,0.0,0.0,0.0,0.41,-0.029999999999999916,0.3800000000000001,0.41,0.3800000000000001,,14.3,2.5,0.5,0.0,0.0,-10.999999999999996,0.09999999999999999,-0.9,-0.9,-1.6000000000000085,0.0,0.9000000000000057,-4.5,0.6000000000000001,-0.6000000000000001,0.0,-0.5,-2.6999999999999957,50.0,-50.0,0.0,0.0,,-1.5,-1.5,,2.0999999999999996,1.7999999999999998,0.3,0.16999999999999998,,25.0,1,90
Enzo Fernandez,Chelsea,1.0,0.8,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.38,0.04000000000000001,0.41999999999999993,-0.019999999999999997,0.02999999999999997,,0.0,0.0,0.0,0.0,,12.799999999999999,-0.019999999999999997,-0.8,0.0,1.5,-2.0,2.9000000000000057,-7.099999999999994,0.4,-0.3,1.5,0.0,-8.299999999999997,-6.700000000000003,20.0,0.0,0.0,,-0.5,-1.0,,2.4,1.8,0.7000000000000001,0.30000000000000004,,-50.0,1,90
Mark Flekken,Brentford,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,6.0,0.0,0.0,4.299999999999997,0.0,0.0,0.0,0.0,,0.0,100.0,0.0,0.0,,1.0,1.5,,3.7,0.3999999999999999,3.1999999999999997,1.12,,,1,90
Phil Foden,Manchester City,1.0,0.3,0.3,0.6,0.7999999999999999,0.0,0.5,0.5,0.0,0.5,-0.009999999999999953,0.22000000000000003,0.2,-0.009999999999999953,0.2,,0.0,0.0,0.0,0.0,0.0,1.4000000000000004,-0.010000000000000009,-0.3,-0.3,6.6000000000000085,-0.4000000000000057,-0.6000000000000085,25.0,0.6,0.4,2.5,0.5,,30.0,-30.0,0.0,0.0,,0.0,-1.0,,1.0,0.3,0.6999999999999997,-0.4500000000000002,,0.0,1,90
Wes Foderingham,Sheffield Utd,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,17.700000000000003,100.0,0.0,5.800000000000001,0.0,0.0,-0.5,0.0,100.0,,,0.0,0.0,,0.0,0.0,,0.5,1.4,-0.8999999999999999,0.2400000000000002,,,1,90
Pablo Fornals,West Ham,0.20000000000000007,0.1,0.1,0.0,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.010000000000000009,0.09,0.07999999999999999,0.09,,33.3,0.5800000000000001,0.9,0.0,0.0,-3.6999999999999993,0.020000000000000004,-0.1,-0.1,1.5,5.700000000000003,0.0,3.299999999999997,0.0,0.0,1.0099999999999998,-0.16000000000000003,-6.700000000000003,16.700000000000003,-16.700000000000003,-38.800000000000004,0.0,15.0,1.0,0.9,-0.23,0.8999999999999999,0.19999999999999996,0.7,0.69,1.97,0.0,0,15
Lyle Foster,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Cody Gakpo,Liverpool,0.7,0.2,0.2,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.16,-0.009999999999999995,0.16000000000000003,0.16,0.16000000000000003,,0.0,2.13,0.0,0.0,,18.6,0.08,-0.2,-0.2,8.299999999999997,2.0,11.899999999999991,33.3,0.0,0.0,0.7999999999999998,0.0,-66.7,25.0,-25.0,-1.6000000000000085,-1.0,,1.0,1.42,1.42,2.8999999999999995,0.19999999999999996,2.6999999999999997,1.81,2.88,66.7,1,62
Conor Gallagher,Chelsea,0.8,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,,50.0,1.1,0.55,0.0,0.0,21.7,0.06,-0.1,-0.1,0.7999999999999972,2.1000000000000085,-4.5,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,-8.900000000000006,-8.0,,-0.5,-0.55,5.08,2.3000000000000003,0.8,1.4,0.73,4.93,100.0,1,74
Idrissa Gana Gueye,Everton,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019999999999999997,-0.010000000000000002,-0.03,-0.019999999999999997,-0.03,,0.0,-0.6699999999999999,0.0,0.0,,0.0,0.0,0.0,0.0,1.5,1.0999999999999943,2.799999999999997,0.0,0.0,0.0,-1.33,0.0,-10.0,,,-25.0,-22.0,,0.0,-1.0,2.0,0.19999999999999973,1.7000000000000002,-1.5,-1.41,1.37,0.0,1,45
Alejandro Garnacho,Manchester Utd,0.8,0.19999999999999998,0.19999999999999998,0.0,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.09,0.06,0.09,,14.3,-0.6000000000000005,0.68,0.0,0.0,-1.8999999999999986,0.020000000000000004,-0.19999999999999998,-0.19999999999999998,-9.5,-2.3999999999999915,-11.099999999999994,-50.0,0.1,0.0,2.7600000000000002,0.0,-8.299999999999997,0.0,0.0,-1.1000000000000085,-1.0,,-1.5,-0.68,3.23,1.7000000000000002,1.1999999999999997,0.6,0.54,1.5399999999999998,50.0,1,65
James Garner,Everton,0.9999999999999999,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.01,0.09999999999999999,0.11,0.01,0.11,,0.0,0.52,0.0,0.0,,13.5,0.03,0.0,0.0,7.3999999999999915,2.0999999999999943,5.700000000000003,3.3000000000000043,0.1,-0.2,-1.7699999999999996,0.0,50.0,5.0,-5.0,4.5,4.0,,0.0,-1.52,-1.52,0.6000000000000001,2.9000000000000004,-2.3,-1.8199999999999998,-1.8199999999999998,50.0,1,90
Morgan Gibbs-White,Nott'ham Forest,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.010000000000000009,0.0,0.010000000000000009,,33.3,0.5,0.5,0.0,0.0,2.8999999999999986,-0.020000000000000004,0.0,0.0,4.799999999999997,0.5999999999999943,-4.800000000000004,9.600000000000001,0.39999999999999997,-0.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,,1.5,1.0,,1.4000000000000001,0.5,0.7999999999999999,0.27,,-33.3,1,90
Billy Gilmour,Brighton,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.049999999999999996,0.0,-0.049999999999999996,-0.049999999999999996,-0.049999999999999996,,0.0,-4.45,-4.45,0.0,0.0,0.0,0.0,0.0,0.0,-4.299999999999997,-2.200000000000003,-2.799999999999997,0.0,0.1,0.0,0.84,0.84,50.0,,,40.5,90.0,0.0,0.0,-1.9300000000000002,-1.9300000000000002,2.2,2.1,0.10000000000000009,-2.8499999999999996,-2.85,0.0,1,90
Joao Gomes,Wolves,0.6000000000000001,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,-0.06,-0.04000000000000001,0.019999999999999997,-0.04000000000000001,,0.0,0.24,0.0,0.0,,6.399999999999999,0.019999999999999997,-0.1,-0.1,2.3000000000000114,3.700000000000003,-3.5,0.0,0.1,0.0,-1.7699999999999996,0.0,-16.599999999999998,8.299999999999997,-8.299999999999997,-17.799999999999997,-16.0,,0.0,-2.1399999999999997,-4.51,0.9000000000000001,1.8999999999999995,-0.9999999999999999,-0.42,10.06,0.0,1,55
