player,shirtnumber,nation,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,started,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team,opponent,gameweek,season,position_1,position_2,position_3,position_4
Zeki Amdouni,25,ch SUI,22,59,0,0,0,0,1,0,0,0,24.0,4.0,0,1.0,0.0,0.0,0.2,1.0,0.0,14.0,16.0,87.5,3.0,17.0,2.0,2.0,1.0,1.0,197.0,62.0,7.0,7.0,100.0,5.0,6.0,83.3,1.0,1.0,100.0,0.2,1.0,3.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1.0,1.0,2.0,1.0,1.0,100.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,11.0,10.0,2.0,24.0,50.0,1.0,50.0,84.0,57.0,0.0,1.0,1.0,0.0,16.0,2.0,0,0,1,0,0.0,0.0,0,2.0,0.0,0.0,,True,BUR,TOT,4.0,2023-2024,FW,,,
Nathan Redmond,15,eng ENG,29,31,0,0,0,0,0,0,0,0,8.0,1.0,0,0.0,0.0,0.0,0.2,2.0,0.0,4.0,6.0,66.7,0.0,6.0,0.0,0.0,0.0,0.0,73.0,24.0,2.0,2.0,100.0,2.0,3.0,66.7,0.0,0.0,,0.2,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,2.0,8.0,,0.0,,22.0,5.0,0.0,0.0,0.0,1.0,7.0,2.0,0,1,1,0,0.0,0.0,0,1.0,0.0,0.0,,True,BUR,TOT,4.0,2023-2024,RM,AM,,
Luca Koleosho,30,it ITA,18,67,0,1,0,0,2,0,0,0,19.0,0.0,0,0.0,0.1,0.1,0.4,3.0,1.0,6.0,9.0,66.7,0.0,13.0,2.0,11.0,5.0,1.0,90.0,3.0,3.0,4.0,75.0,3.0,4.0,75.0,0.0,0.0,,0.3,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,13.0,4.0,19.0,45.5,5.0,45.5,133.0,47.0,3.0,1.0,1.0,1.0,15.0,5.0,0,0,1,1,0.0,0.0,0,1.0,0.0,1.0,0.0,True,BUR,TOT,4.0,2023-2024,LM,AM,,
Jacob Bruun Larsen,34,dk DEN,24,23,0,0,0,0,1,0,0,0,14.0,1.0,0,0.0,0.1,0.1,0.1,2.0,0.0,8.0,8.0,100.0,1.0,6.0,3.0,1.0,0.0,0.0,128.0,12.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,2.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,10.0,6.0,14.0,0.0,1.0,100.0,45.0,38.0,1.0,2.0,1.0,0.0,7.0,4.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,,True,BUR,TOT,4.0,2023-2024,LM,AM,,
Sander Berge,16,no NOR,25,45,0,0,0,0,0,0,0,0,28.0,2.0,0,3.0,0.0,0.0,0.0,2.0,0.0,20.0,22.0,90.9,0.0,21.0,0.0,2.0,1.0,1.0,281.0,58.0,13.0,14.0,92.9,5.0,5.0,100.0,2.0,2.0,100.0,0.0,1.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,2.0,2.0,100.0,0.0,1.0,2.0,2.0,0.0,0.0,3.0,10.0,14.0,4.0,0.0,28.0,50.0,1.0,50.0,76.0,12.0,1.0,0.0,0.0,1.0,18.0,0.0,0,0,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,BUR,TOT,4.0,2023-2024,CM,,,
Josh Brownhill,8,eng ENG,27,45,1,0,0,0,3,1,1,0,30.0,1.0,0,0.0,0.2,0.2,0.1,5.0,1.0,19.0,25.0,76.0,0.0,15.0,0.0,0.0,0.0,0.0,296.0,90.0,10.0,12.0,83.3,5.0,6.0,83.3,2.0,3.0,66.7,0.2,1.0,0.0,0.0,0.0,18.0,7.0,0.0,1.0,0.0,5,0.0,6.0,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.0,4.0,20.0,2.0,30.0,,0.0,,41.0,15.0,0.0,0.0,0.0,1.0,18.0,3.0,0,1,0,0,0.0,0.0,0,1.0,0.0,0.0,,True,BUR,TOT,4.0,2023-2024,CM,,,
Josh Cullen,24,ie IRL,27,90,0,1,0,0,1,0,0,0,54.0,1.0,0,1.0,0.0,0.0,0.1,4.0,1.0,40.0,46.0,87.0,3.0,40.0,1.0,1.0,0.0,1.0,512.0,149.0,29.0,29.0,100.0,8.0,10.0,80.0,1.0,4.0,25.0,0.2,1.0,2.0,1.0,0.0,44.0,2.0,2.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,1.0,0.0,1.0,2.0,50.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,16.0,25.0,14.0,0.0,54.0,0.0,1.0,100.0,90.0,41.0,2.0,0.0,0.0,1.0,39.0,1.0,0,2,3,0,0.0,0.0,0,6.0,0.0,0.0,,True,BUR,TOT,4.0,2023-2024,CM,DM,,
Johann Gudmundsson,7,is ISL,32,45,0,0,0,0,0,0,1,0,28.0,1.0,1,0.0,0.0,0.0,0.0,1.0,0.0,13.0,20.0,65.0,3.0,15.0,2.0,2.0,0.0,1.0,222.0,111.0,6.0,7.0,85.7,6.0,7.0,85.7,1.0,4.0,25.0,0.1,1.0,1.0,1.0,1.0,18.0,2.0,1.0,0.0,0.0,3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,2.0,2.0,0.0,2.0,10.0,10.0,8.0,1.0,28.0,0.0,1.0,50.0,64.0,38.0,2.0,1.0,2.0,0.0,14.0,2.0,0,1,0,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,BUR,TOT,4.0,2023-2024,RM,,,
Hannes Delcroix,44,be BEL,24,45,0,0,0,0,2,1,1,0,31.0,0.0,2,0.0,0.3,0.3,0.0,0.0,0.0,26.0,26.0,100.0,0.0,22.0,1.0,0.0,0.0,0.0,455.0,172.0,9.0,9.0,100.0,11.0,11.0,100.0,4.0,4.0,100.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,4.0,15.0,13.0,3.0,2.0,31.0,,0.0,,95.0,65.0,0.0,0.0,0.0,0.0,22.0,0.0,0,1,0,0,0.0,0.0,0,4.0,2.0,0.0,100.0,True,BUR,TOT,4.0,2023-2024,CB,,,
Connor Roberts,14,wls WAL,27,90,0,0,0,0,0,0,0,0,73.0,0.0,0,1.0,0.0,0.0,0.0,6.0,1.0,58.0,71.0,81.7,8.0,52.0,3.0,0.0,0.0,1.0,1049.0,320.0,25.0,31.0,80.6,25.0,27.0,92.6,7.0,8.0,87.5,0.1,1.0,3.0,3.0,1.0,60.0,11.0,1.0,0.0,1.0,1,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,24.0,31.0,19.0,0.0,73.0,,0.0,,203.0,111.0,3.0,0.0,0.0,0.0,56.0,1.0,0,1,2,0,0.0,0.0,0,7.0,0.0,0.0,,True,BUR,TOT,4.0,2023-2024,LB,WB,,
Jordan Beyer,5,de GER,23,73,0,0,0,0,0,0,1,0,63.0,10.0,0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,54.0,87.0,2.0,40.0,0.0,3.0,2.0,1.0,886.0,229.0,15.0,15.0,100.0,25.0,28.0,89.3,6.0,10.0,60.0,0.0,0.0,1.0,0.0,0.0,51.0,3.0,2.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.0,3.0,1.0,4.0,6.0,66.7,2.0,0.0,0.0,10.0,0.0,0.0,8.0,40.0,21.0,2.0,0.0,63.0,66.7,1.0,33.3,179.0,71.0,0.0,0.0,0.0,0.0,42.0,0.0,0,1,1,0,0.0,0.0,0,4.0,1.0,0.0,100.0,True,BUR,TOT,4.0,2023-2024,CB,,,
Jack Cork,4,eng ENG,34,17,0,0,0,0,0,0,0,0,17.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,16.0,56.3,1.0,12.0,2.0,0.0,0.0,0.0,150.0,29.0,4.0,7.0,57.1,4.0,4.0,100.0,1.0,3.0,33.3,0.0,0.0,1.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,6.0,1.0,17.0,,0.0,,81.0,46.0,1.0,0.0,0.0,0.0,13.0,1.0,0,1,0,0,0.0,0.0,0,2.0,0.0,2.0,0.0,True,BUR,TOT,4.0,2023-2024,CM,,,
Dara O'Shea,2,ie IRL,24,90,0,0,0,0,1,0,0,0,73.0,2.0,2,4.0,0.0,0.0,0.0,0.0,0.0,50.0,60.0,83.3,2.0,48.0,0.0,0.0,0.0,1.0,934.0,400.0,18.0,23.0,78.3,27.0,30.0,90.0,5.0,7.0,71.4,0.0,0.0,3.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,2.0,2.0,100.0,0.0,4.0,0.0,4.0,2.0,1.0,28.0,52.0,18.0,3.0,3.0,73.0,,0.0,,125.0,51.0,0.0,0.0,1.0,0.0,52.0,0.0,0,1,0,0,0.0,0.0,0,3.0,2.0,0.0,100.0,True,BUR,TOT,4.0,2023-2024,CB,,,
Ameen Al Dakhil,28,be BEL,21,90,0,0,0,0,3,0,0,0,54.0,2.0,3,1.0,0.1,0.1,0.0,1.0,0.0,29.0,42.0,69.0,2.0,26.0,1.0,0.0,0.0,1.0,503.0,72.0,10.0,13.0,76.9,15.0,20.0,75.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,0.0,31.0,11.0,1.0,0.0,1.0,0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,1.0,5.0,20.0,4.0,0.0,1.0,5.0,1.0,2.0,3.0,24.0,19.0,11.0,1.0,54.0,,0.0,,87.0,35.0,1.0,0.0,1.0,2.0,22.0,0.0,0,1,0,0,0.0,0.0,0,9.0,0.0,3.0,0.0,True,BUR,TOT,4.0,2023-2024,RB,WB,,
James Trafford,1,eng ENG,20,90,0,0,0,0,0,0,0,0,69.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,66.0,72.7,1.0,53.0,0.0,0.0,0.0,1.0,1129.0,696.0,10.0,10.0,100.0,24.0,26.0,92.3,14.0,30.0,46.7,0.0,0.0,0.0,0.0,0.0,58.0,8.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,57.0,68.0,1.0,0.0,0.0,69.0,,0.0,,199.0,96.0,0.0,0.0,0.0,0.0,46.0,0.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,True,BUR,TOT,4.0,2023-2024,GK,,,
Son Heung-Min,7,kr KOR,31,71,3,0,0,0,5,3,0,0,27.0,0.0,0,0.0,1.1,1.1,0.0,4.0,1.0,15.0,18.0,83.3,5.0,18.0,3.0,1.0,0.0,1.0,194.0,48.0,12.0,13.0,92.3,2.0,3.0,66.7,1.0,1.0,100.0,0.1,1.0,0.0,4.0,0.0,16.0,2.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,19.0,10.0,27.0,0.0,1.0,100.0,114.0,74.0,2.0,2.0,1.0,0.0,20.0,8.0,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,FW,,,
Richarlison,9,br BRA,26,19,0,0,0,0,0,0,0,0,6.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,4.0,0.0,1.0,0.0,0.0,24.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,6.0,0.0,1.0,100.0,16.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0,0,1,1,0.0,0.0,0,0.0,0.0,2.0,0.0,False,TOT,BUR,4.0,2023-2024,FW,,,
Manor Solomon,27,il ISR,24,67,0,2,0,0,2,0,0,0,33.0,2.0,1,0.0,0.1,0.1,0.5,8.0,2.0,20.0,22.0,90.9,0.0,25.0,5.0,5.0,3.0,1.0,243.0,35.0,14.0,15.0,93.3,5.0,6.0,83.3,0.0,0.0,,0.3,5.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,11.0,20.0,9.0,33.0,60.0,2.0,40.0,197.0,121.0,1.0,4.0,2.0,0.0,23.0,7.0,0,0,0,0,0.0,0.0,0,2.0,0.0,1.0,0.0,False,TOT,BUR,4.0,2023-2024,LW,,,
Ivan Perisic,14,hr CRO,34,23,0,0,0,0,0,0,0,0,16.0,0.0,1,0.0,0.0,0.0,0.1,1.0,0.0,10.0,13.0,76.9,0.0,9.0,3.0,1.0,0.0,0.0,124.0,44.0,7.0,10.0,70.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,1.0,2.0,1.0,1.0,12.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,7.0,5.0,4.0,1.0,16.0,0.0,1.0,100.0,72.0,54.0,1.0,1.0,0.0,0.0,14.0,3.0,0,0,1,0,0.0,0.0,0,0.0,3.0,0.0,100.0,False,TOT,BUR,4.0,2023-2024,LW,,,
Dejan Kulusevski,21,se SWE,23,85,0,0,0,0,0,0,1,0,50.0,2.0,2,1.0,0.0,0.0,0.2,2.0,0.0,29.0,36.0,80.6,3.0,36.0,5.0,7.0,3.0,1.0,348.0,77.0,19.0,21.0,90.5,9.0,12.0,75.0,0.0,0.0,,0.2,3.0,1.0,2.0,0.0,35.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.0,1.0,1.0,1.0,3.0,33.3,2.0,0.0,1.0,4.0,0.0,0.0,0.0,6.0,13.0,32.0,12.0,50.0,42.9,4.0,57.1,234.0,112.0,2.0,6.0,3.0,5.0,34.0,10.0,0,1,1,0,0.0,0.0,0,7.0,0.0,2.0,0.0,False,TOT,BUR,4.0,2023-2024,RW,,,
Oliver Skipp,4,eng ENG,22,5,0,0,0,0,0,0,0,0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,85.7,0.0,2.0,0.0,0.0,0.0,0.0,83.0,19.0,3.0,3.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,8.0,,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,LM,RW,,
James Maddison,10,eng ENG,26,85,1,0,0,0,5,5,0,0,69.0,0.0,1,0.0,0.4,0.4,0.0,6.0,1.0,45.0,57.0,78.9,11.0,52.0,2.0,5.0,3.0,1.0,800.0,247.0,22.0,26.0,84.6,15.0,19.0,78.9,7.0,9.0,77.8,0.2,1.0,1.0,5.0,1.0,50.0,7.0,3.0,0.0,1.0,4,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,32.0,33.0,5.0,69.0,60.0,1.0,20.0,205.0,98.0,2.0,2.0,2.0,1.0,57.0,8.0,0,2,3,0,0.0,0.0,0,2.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,AM,,,
Emerson Royal,12,br BRA,24,5,0,0,0,0,0,0,0,0,19.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,100.0,0.0,11.0,0.0,0.0,0.0,0.0,255.0,22.0,11.0,11.0,100.0,4.0,4.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,3.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,6.0,10.0,3.0,0.0,19.0,,0.0,,51.0,6.0,1.0,0.0,0.0,0.0,13.0,0.0,0,1,2,0,0.0,0.0,0,2.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,RB,,,
Yves Bissouma,8,ml MLI,27,90,0,0,0,0,2,1,0,0,82.0,4.0,3,1.0,0.0,0.0,0.0,3.0,0.0,59.0,64.0,92.2,7.0,57.0,2.0,3.0,2.0,1.0,852.0,268.0,38.0,39.0,97.4,18.0,19.0,94.7,2.0,5.0,40.0,0.0,0.0,7.0,1.0,0.0,63.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2.0,2.0,0.0,2.0,3.0,66.7,1.0,0.0,1.0,7.0,2.0,0.0,2.0,17.0,50.0,16.0,2.0,82.0,66.7,1.0,33.3,267.0,142.0,2.0,1.0,2.0,5.0,66.0,0.0,0,1,2,0,0.0,0.0,0,7.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,DM,CM,,
Pape Sarr,29,sn SEN,20,67,0,0,0,0,3,1,1,0,47.0,2.0,0,1.0,0.4,0.4,0.1,4.0,1.0,30.0,36.0,83.3,2.0,29.0,2.0,1.0,0.0,1.0,401.0,57.0,16.0,16.0,100.0,13.0,14.0,92.9,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,35.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,1.0,0.0,1.0,1.0,2.0,50.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,11.0,20.0,16.0,4.0,47.0,0.0,1.0,100.0,133.0,38.0,3.0,0.0,0.0,0.0,31.0,3.0,0,2,1,0,0.0,0.0,0,5.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,DM,,,
Pierre-Emile Hojbjerg,5,dk DEN,28,23,0,0,0,0,0,0,1,0,20.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,3.0,10.0,0.0,0.0,0.0,0.0,294.0,103.0,7.0,8.0,87.5,5.0,5.0,100.0,3.0,3.0,100.0,0.0,0.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,3.0,8.0,10.0,2.0,0.0,20.0,,0.0,,41.0,29.0,2.0,0.0,1.0,0.0,16.0,0.0,0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,DM,RM,,
Iyenoma Destiny Udogie,38,it ITA,20,90,0,1,0,0,0,0,0,0,60.0,5.0,2,1.0,0.0,0.0,0.1,2.0,2.0,42.0,46.0,91.3,4.0,34.0,6.0,2.0,1.0,1.0,568.0,185.0,28.0,29.0,96.6,10.0,11.0,90.9,3.0,3.0,100.0,0.0,1.0,4.0,1.0,0.0,42.0,4.0,0.0,0.0,0.0,1,4.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2.0,3.0,0.0,3.0,3.0,100.0,0.0,0.0,1.0,7.0,4.0,0.0,5.0,19.0,31.0,12.0,1.0,60.0,50.0,0.0,0.0,252.0,154.0,4.0,1.0,1.0,1.0,28.0,4.0,0,0,2,0,0.0,0.0,0,14.0,0.0,1.0,0.0,False,TOT,BUR,4.0,2023-2024,LB,,,
Micky van de Ven,37,nl NED,22,90,0,0,0,0,0,0,0,0,79.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,66.0,72.0,91.7,1.0,50.0,1.0,1.0,1.0,1.0,1049.0,333.0,33.0,35.0,94.3,28.0,32.0,87.5,3.0,3.0,100.0,0.0,0.0,0.0,0.0,0.0,66.0,6.0,4.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,0.0,15.0,40.0,38.0,2.0,1.0,79.0,100.0,0.0,0.0,210.0,64.0,0.0,0.0,0.0,1.0,53.0,1.0,0,0,1,0,0.0,0.0,0,7.0,2.0,2.0,50.0,False,TOT,BUR,4.0,2023-2024,CB,,,
Cristian Romero,17,ar ARG,25,90,1,0,0,0,1,1,0,0,83.0,2.0,0,3.0,0.0,0.0,0.0,0.0,0.0,68.0,74.0,91.9,5.0,55.0,0.0,0.0,0.0,1.0,1210.0,460.0,25.0,29.0,86.2,36.0,37.0,97.3,6.0,7.0,85.7,0.0,0.0,3.0,0.0,0.0,70.0,4.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,2.0,3.0,66.7,1.0,2.0,1.0,2.0,3.0,0.0,22.0,45.0,36.0,2.0,1.0,83.0,,0.0,,209.0,87.0,0.0,0.0,0.0,0.0,56.0,0.0,0,0,1,0,0.0,0.0,0,9.0,4.0,0.0,100.0,False,TOT,BUR,4.0,2023-2024,CB,,,
Pedro Porro,23,es ESP,23,90,0,1,0,0,3,0,0,0,66.0,2.0,2,2.0,0.2,0.2,0.9,3.0,1.0,41.0,50.0,82.0,7.0,41.0,2.0,3.0,1.0,1.0,709.0,354.0,20.0,21.0,95.2,16.0,18.0,88.9,5.0,10.0,50.0,0.2,2.0,8.0,1.0,0.0,45.0,5.0,0.0,1.0,0.0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,2.0,4.0,2.0,0.0,5.0,25.0,27.0,14.0,3.0,66.0,33.3,2.0,66.7,160.0,109.0,1.0,0.0,1.0,0.0,41.0,3.0,0,1,0,0,0.0,0.0,0,5.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,RB,RW,,
Guglielmo Vicario,13,it ITA,26,90,0,0,0,0,0,0,0,0,55.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,53.0,73.6,0.0,35.0,0.0,0.0,0.0,1.0,732.0,395.0,15.0,15.0,100.0,19.0,19.0,100.0,5.0,19.0,26.3,0.0,0.0,0.0,0.0,0.0,46.0,7.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,47.0,55.0,0.0,0.0,0.0,55.0,,0.0,,173.0,91.0,0.0,0.0,0.0,0.0,38.0,0.0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,False,TOT,BUR,4.0,2023-2024,GK,,,
Evan Ferguson,28,ie IRL,18,80,3,0,0,0,4,4,0,0,27.0,0.0,0,1.0,0.8,0.8,0.0,1.0,0.0,17.0,18.0,94.4,3.0,23.0,2.0,2.0,2.0,1.0,252.0,64.0,11.0,11.0,100.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0,0.0,17.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,11.0,15.0,3.0,27.0,100.0,0.0,0.0,163.0,75.0,2.0,0.0,3.0,1.0,26.0,3.0,0,1,4,0,0.0,0.0,0,1.0,1.0,0.0,100.0,True,BHA,NEW,4.0,2023-2024,FW,,,
James Milner,6,eng ENG,37,10,0,0,0,0,0,0,1,0,14.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0,92.3,0.0,8.0,1.0,0.0,0.0,0.0,164.0,26.0,10.0,10.0,100.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,10.0,0.0,0.0,14.0,,0.0,,32.0,23.0,0.0,0.0,0.0,0.0,11.0,0.0,0,1,0,0,0.0,0.0,0,2.0,0.0,0.0,,True,BHA,NEW,4.0,2023-2024,LM,,,
