player,shirtnumber,nation,age,minutes,goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,started,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,home,team,opponent,gameweek,season,position_1,position_2,position_3
Moussa Diaby,19,fr FRA,24,63,0,0,0,0,3,2,0,0,33,0,0,1,0.3,0.3,0.4,3,1,17,20,85.0,3,24,3,2,0,1.0,188,44,13,15,86.7,3,3,100.0,0,0,,0.2,2,1,3,0,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,4,15,14,3,33,0.0,2,100.0,113,68,1,0,5,0,25,4,0,0,0,0,0,0,0,2,0,0,,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,AM,,
Diego Carlos,3,br BRA,30,27,0,0,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.0,0,0,23,26,88.5,0,24,0,1,0,0.0,412,158,7,8,87.5,16,17,94.1,0,1,0.0,0.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0,1,0,2,2,0,5,19,12,0,0,31,0.0,1,100.0,134,56,0,0,0,0,24,0,0,0,0,0,0,0,0,3,1,0,100.0,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,CB,,
Douglas Luiz,6,br BRA,25,63,1,0,1,1,0,0,1,0,50,0,1,1,0.8,0.0,0.1,3,0,41,43,95.3,4,27,2,1,1,1.0,759,182,16,17,94.1,18,19,94.7,5,5,100.0,0.1,1,4,0,0,35,8,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,2,0,4,12,27,11,2,49,100.0,0,0.0,146,62,1,0,0,0,32,0,0,1,1,0,0,0,0,2,0,1,0.0,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,DM,,
Philippe Coutinho,23,br BRA,31,21,0,0,0,0,2,1,0,0,19,0,0,0,0.1,0.1,0.0,1,0,13,15,86.7,4,20,2,4,3,0.0,177,37,6,8,75.0,6,6,100.0,0,0,,0.0,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,2,14,3,0,19,75.0,1,25.0,149,78,1,0,1,0,20,0,0,0,1,0,0,0,0,0,0,0,,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,AM,,
Cameron Archer,35,eng ENG,22,6,0,0,0,0,0,0,1,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,1,0,0,0.0,42,0,5,6,83.3,0,0,,0,0,,0.0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,4,2,0,7,,0,,39,28,1,0,1,0,7,0,0,1,0,0,0,0,0,1,0,0,,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,AM,,
Boubacar Kamara,44,fr FRA,23,90,0,0,0,0,1,0,0,0,60,1,1,1,0.0,0.0,0.0,0,0,47,55,85.5,4,47,1,1,0,1.0,733,168,29,33,87.9,16,17,94.1,2,3,66.7,0.0,0,1,1,0,52,3,3,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0.0,2,0,1,2,0,0,0,18,37,6,0,60,0.0,1,100.0,252,145,1,0,1,0,42,1,0,2,2,0,0,0,0,9,0,1,0.0,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,DM,CM,
Lucas Digne,12,fr FRA,30,90,0,0,0,0,1,0,1,0,89,2,1,0,0.0,0.0,0.2,2,0,62,79,78.5,2,56,2,3,1,1.0,870,278,33,36,91.7,26,29,89.7,1,7,14.3,0.1,1,3,1,1,67,11,1,0,0,10,9,1,0,1,0,1,2,0,2,0,0,2,3,66.7,1,0,0,3,2,0,2,22,42,25,1,89,33.3,1,33.3,229,94,0,0,2,0,60,14,0,2,1,0,0,0,0,6,2,1,66.7,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,LB,WB,
Pau Torres,14,es ESP,26,90,0,0,0,0,0,0,0,0,82,0,0,0,0.0,0.0,0.0,0,0,71,79,89.9,4,67,0,0,0,1.0,1396,421,19,21,90.5,48,48,100.0,4,9,44.4,0.0,0,3,0,0,77,2,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,3,0,8,40,42,0,0,82,,0,,488,340,0,0,0,0,68,0,0,0,0,1,0,0,0,2,2,0,100.0,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,CB,,
Ezri Konsa,4,eng ENG,25,90,0,0,0,0,0,0,0,0,77,1,0,0,0.0,0.0,0.0,0,0,67,70,95.7,0,56,0,0,0,1.0,1144,344,26,27,96.3,37,38,97.4,3,4,75.0,0.0,0,1,0,0,65,5,2,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,,0,0,0,1,3,0,12,47,28,3,1,77,,0,,198,82,0,0,1,0,58,2,0,0,0,0,0,0,0,3,0,1,0.0,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,CB,,
Matty Cash,2,pl POL,26,90,0,0,0,0,0,0,0,0,63,0,0,5,0.0,0.0,0.1,1,0,44,51,86.3,4,41,1,5,1,1.0,673,234,21,23,91.3,20,20,100.0,2,7,28.6,0.3,1,1,2,1,47,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2,2,3,0,3,0,2,16,36,12,0,63,20.0,1,20.0,166,33,1,0,0,0,44,1,0,0,2,0,0,0,0,4,2,1,66.7,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,RB,WB,
Emiliano Martinez,1,ar ARG,30,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,43,46,93.5,0,34,0,0,0,1.0,1028,602,3,3,100.0,33,35,94.3,7,8,87.5,0.0,0,0,0,0,38,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,39,48,0,0,0,48,,0,,129,53,0,0,0,0,29,0,0,0,1,0,0,0,0,0,1,0,100.0,True,Aston Villa Player Stats,Everton Player Stats,2.0,2023-2024,GK,,
Dominic Calvert-Lewin,9,eng ENG,26,37,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0,1.0,32,7,2,3,66.7,1,1,100.0,0,0,,0.0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2,3,2,5,,0,,13,5,0,0,1,0,3,1,0,2,0,0,0,0,0,2,1,3,25.0,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,FW,,
Arnaut Danjuma,10,nl NED,26,53,0,0,0,0,4,1,0,0,29,0,0,0,0.2,0.2,0.0,4,0,16,18,88.9,0,18,2,3,2,0.0,239,27,8,9,88.9,8,8,100.0,0,1,0.0,0.1,0,0,0,0,16,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,11,17,6,29,66.7,0,0.0,206,54,4,1,4,2,21,7,0,0,2,0,0,0,0,2,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,LM,FW,
Alex Iwobi,17,ng NGA,27,50,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,5,12,41.7,0,8,3,0,0,1.0,75,4,4,4,100.0,1,4,25.0,0,2,0.0,0.1,1,0,0,0,11,1,0,0,0,4,0,1,1,0,0,0,2,0,1,0,0,1,2,50.0,1,0,0,1,0,0,0,2,3,9,1,14,,0,,79,59,2,1,0,0,9,4,0,0,0,1,0,0,0,0,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,LM,RM,
Neal Maupay,13,fr FRA,27,40,0,0,0,0,1,1,0,0,21,0,0,1,0.1,0.1,0.0,1,0,14,17,82.4,0,11,0,0,0,0.0,226,5,8,9,88.9,4,4,100.0,1,1,100.0,0.0,0,0,0,0,15,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,11,10,2,21,,0,,31,20,0,0,3,1,17,3,0,0,0,0,0,0,0,0,0,1,0.0,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,FW,,
Amadou Onana,8,be BEL,22,90,0,0,0,0,0,0,0,0,53,1,0,3,0.0,0.0,0.0,0,0,35,42,83.3,5,32,0,0,0,1.0,586,101,16,17,94.1,16,18,88.9,2,5,40.0,0.0,0,3,0,0,41,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,33.3,2,0,3,1,1,0,1,7,34,12,0,53,,0,,96,53,1,0,2,0,36,0,0,0,1,0,0,0,0,6,3,0,100.0,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,CM,DM,
Abdoulaye Doucoure,16,ml MLI,30,89,0,0,0,0,1,0,0,0,30,1,1,0,0.1,0.1,0.0,1,0,21,26,80.8,2,18,2,2,2,1.0,283,43,11,13,84.6,7,9,77.8,1,2,50.0,0.0,1,0,0,0,24,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,4,25.0,3,0,0,2,0,0,0,1,11,18,3,30,100.0,0,0.0,89,47,0,1,2,1,22,2,0,5,0,0,0,0,0,2,0,1,0.0,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,CM,FW,
Tyler Onyango,62,eng ENG,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0.0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,CM,,
James Garner,37,eng ENG,22,90,0,0,0,0,1,0,0,0,39,2,0,1,0.0,0.0,0.2,1,0,26,32,81.3,3,20,3,1,1,1.0,453,175,13,14,92.9,8,9,88.9,3,6,50.0,0.1,1,5,1,0,28,4,3,0,2,3,0,1,1,0,0,0,1,1,0,2,0,2,3,66.7,1,1,0,2,1,0,3,8,17,14,1,39,100.0,0,0.0,106,58,2,0,1,0,21,1,0,1,2,0,0,0,0,5,1,1,50.0,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,CM,RM,
Idrissa Gana Gueye,27,sn SEN,33,45,0,0,0,0,0,0,1,0,17,1,0,0,0.0,0.0,0.0,0,0,12,13,92.3,1,10,0,0,0,1.0,188,43,4,4,100.0,7,7,100.0,0,0,,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,33.3,2,0,0,1,1,0,2,3,12,2,0,17,,0,,23,12,0,0,1,0,9,0,0,1,0,0,0,0,0,6,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,DM,CM,
Lewis Dobbin,61,eng ENG,20,45,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,9,14,64.3,0,15,1,5,3,0.0,98,5,7,8,87.5,2,5,40.0,0,1,0.0,0.0,1,0,0,0,12,2,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,1,3,33.3,2,0,1,1,0,0,0,6,8,12,1,25,60.0,2,40.0,108,66,2,0,3,1,13,0,0,0,1,0,0,0,0,2,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,RM,LM,
Ashley Young,18,eng ENG,38,90,0,0,0,0,0,0,0,0,57,2,0,0,0.0,0.0,0.1,3,0,39,53,73.6,8,31,3,1,0,1.0,745,346,12,12,100.0,21,23,91.3,5,13,38.5,0.0,2,3,1,0,42,11,1,0,0,5,7,3,0,3,0,0,4,2,1,1,0,2,2,100.0,0,0,0,2,1,1,1,15,31,12,0,57,0.0,0,0.0,105,69,2,0,0,0,31,1,0,0,1,0,0,0,0,8,0,1,0.0,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,LB,,
James Tarkowski,6,eng ENG,30,90,0,0,0,0,1,0,0,0,46,0,3,2,0.2,0.2,0.0,0,0,34,40,85.0,1,35,0,1,1,1.0,741,367,12,12,100.0,13,15,86.7,7,11,63.6,0.0,0,6,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,3,1,0,6,19,26,2,2,46,100.0,0,0.0,134,64,0,0,0,0,31,1,0,0,1,0,0,0,0,9,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,CB,,
Michael Keane,5,eng ENG,30,90,0,0,0,0,0,0,1,0,54,1,1,0,0.0,0.0,0.0,1,0,38,49,77.6,1,35,1,0,0,1.0,815,245,8,11,72.7,24,25,96.0,6,12,50.0,0.0,0,0,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.0,1,0,0,2,4,1,8,25,28,1,0,54,,0,,120,83,0,0,0,0,39,0,0,1,0,0,0,0,0,5,3,2,60.0,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,CB,,
Nathan Patterson,2,sct SCO,21,90,0,0,0,0,1,0,1,0,60,4,1,0,0.0,0.0,0.1,2,0,40,52,76.9,2,32,0,0,0,1.0,689,271,20,24,83.3,16,19,84.2,4,9,44.4,0.1,1,3,2,0,45,7,0,1,0,1,7,0,0,0,0,0,0,4,3,1,0,1,2,50.0,1,0,0,5,1,0,1,19,28,14,1,60,,0,,72,27,0,0,0,2,41,3,0,1,0,0,0,0,0,3,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,RB,,
Jordan Pickford,1,eng ENG,29,90,0,0,0,0,0,0,1,0,29,0,0,0,0.0,0.0,0.0,0,0,19,27,70.4,0,18,0,0,0,1.0,536,343,2,2,100.0,11,11,100.0,6,13,46.2,0.0,0,0,0,0,18,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,24,27,2,0,0,29,,0,,85,68,0,0,0,0,13,0,0,1,0,0,0,1,0,0,0,0,,False,Everton Player Stats,Aston Villa Player Stats,2.0,2023-2024,GK,,
Michail Antonio,9,jm JAM,33,75,1,0,0,0,2,1,0,0,18,0,0,0,0.2,0.2,0.0,1,0,5,11,45.5,1,15,1,0,0,1.0,65,14,3,4,75.0,2,3,66.7,0,2,0.0,0.0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,14,3,2,18,,0,,151,74,1,1,2,1,15,2,0,1,2,0,0,0,0,3,1,3,25.0,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,FW,,
Pablo Fornals,8,es ESP,27,15,0,0,0,0,1,1,0,0,9,0,1,0,0.1,0.1,0.0,2,0,6,7,85.7,0,7,1,1,1,0.0,85,42,5,5,100.0,0,0,,1,1,100.0,0.0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,1,0,0,1,3,1,5,1,9,100.0,0,0.0,35,24,0,1,1,0,5,0,0,1,0,0,0,0,0,4,0,0,,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,RW,FW,
Said Benrahma,22,dz ALG,28,68,0,0,0,0,3,0,0,0,24,1,0,0,0.1,0.1,0.0,0,0,12,16,75.0,0,19,2,4,2,1.0,150,33,6,7,85.7,3,6,50.0,1,1,100.0,0.0,0,0,1,1,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0.0,3,0,0,1,0,0,1,5,10,9,0,24,50.0,2,50.0,133,47,2,1,2,1,19,7,0,1,0,1,0,0,0,2,0,0,,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,LW,,
Angelo Ogbonna,21,it ITA,35,22,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,0.0,0,0,0,0,,0,0,,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,2,2,0,0,0,2,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,CB,,
Jarrod Bowen,20,eng ENG,26,90,0,0,0,0,2,2,0,0,24,1,0,1,0.4,0.4,0.0,4,1,9,12,75.0,0,13,2,0,0,1.0,91,9,7,8,87.5,1,3,33.3,0,0,,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,1,1,0,1,7,7,10,4,24,,0,,64,31,1,0,8,2,16,0,0,1,1,2,0,0,0,3,1,2,33.3,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,RW,FW,
Lucas Paqueta,10,br BRA,25,90,1,0,1,1,1,0,1,0,53,2,2,1,0.9,0.1,0.1,5,2,26,38,68.4,4,31,1,2,1,1.0,373,104,15,17,88.2,8,14,57.1,2,2,100.0,0.0,2,2,0,0,35,2,1,0,1,2,0,0,0,0,0,1,1,2,2,0,0,1,7,14.3,6,0,1,4,1,0,2,20,17,17,3,52,50.0,1,50.0,117,57,2,0,3,6,30,1,0,1,1,0,0,0,0,10,2,3,40.0,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,AM,LW,
James Ward-Prowse,7,eng ENG,28,80,0,2,0,0,1,0,0,0,36,2,1,1,0.0,0.0,0.2,2,2,22,26,84.6,3,12,0,0,0,1.0,314,98,16,16,100.0,5,5,100.0,1,4,25.0,0.1,2,1,2,0,22,4,0,0,0,3,0,3,1,2,0,0,0,0,1,1,0,1,3,33.3,2,1,0,3,3,0,4,14,13,9,0,36,,0,,63,15,0,0,0,1,15,0,0,0,1,0,0,0,0,2,1,2,33.3,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,DM,,
Edson Alvarez,19,mx MEX,25,10,0,0,0,0,0,0,0,0,8,0,1,1,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,0,0,0.0,11,5,1,2,50.0,0,0,,0,1,0.0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,0,2,7,1,0,0,8,,0,,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,50.0,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,DM,,
Tomas Soucek,28,cz CZE,28,90,0,0,0,0,0,0,0,0,39,1,5,4,0.0,0.0,0.2,4,0,15,23,65.2,1,13,0,0,0,1.0,302,78,6,11,54.5,5,6,83.3,4,4,100.0,0.0,3,1,0,0,23,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,3,33.3,2,2,2,6,4,0,11,18,15,6,3,39,,0,,46,13,0,0,1,0,15,1,0,2,1,0,0,1,0,6,2,3,40.0,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,DM,,
Emerson Palmieri,33,it ITA,29,90,0,0,0,0,0,0,1,0,44,4,3,2,0.0,0.0,0.0,2,1,22,27,81.5,3,17,3,1,1,1.0,318,241,8,10,80.0,9,9,100.0,2,2,100.0,0.0,1,1,1,0,19,8,0,0,0,0,8,0,0,0,0,0,1,2,2,2,0,1,1,100.0,0,1,1,7,4,0,10,31,9,6,1,44,100.0,0,0.0,138,107,0,1,0,0,14,1,0,2,2,0,1,0,0,6,0,1,0.0,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,LB,,
Nayef Aguerd,27,ma MAR,27,66,1,0,0,0,1,1,2,1,36,1,3,2,0.1,0.1,0.0,0,0,16,24,66.7,0,19,0,0,0,1.0,316,125,6,7,85.7,8,9,88.9,2,8,25.0,0.0,0,0,0,0,21,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,100.0,0,0,2,4,3,0,5,22,14,1,1,36,,0,,62,41,0,0,1,1,14,0,1,2,0,0,0,0,0,6,0,0,,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,CB,,
Kurt Zouma,4,fr FRA,28,90,0,0,0,0,0,0,0,0,26,1,1,1,0.0,0.0,0.0,0,0,12,17,70.6,0,16,0,0,0,1.0,221,82,3,4,75.0,8,8,100.0,1,4,25.0,0.0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,0,0,1,2,3,0,6,21,5,0,0,26,,0,,73,44,0,0,0,0,14,0,0,0,0,0,0,0,0,3,1,2,33.3,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,CB,,
Vladimir Coufal,5,cz CZE,30,90,0,0,0,0,0,0,0,0,36,1,1,2,0.0,0.0,0.0,1,0,14,24,58.3,1,13,1,0,0,1.0,246,148,8,8,100.0,4,7,57.1,2,8,25.0,0.0,0,1,1,1,15,8,1,0,0,2,7,0,0,0,0,1,0,0,1,0,0,1,2,50.0,1,0,2,2,5,0,6,21,10,5,0,36,,0,,56,33,0,0,0,1,13,1,0,1,1,0,0,0,0,3,1,2,33.3,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,RB,,
Alphonse Areola,23,fr FRA,30,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,17,32,53.1,0,13,0,0,0,1.0,661,524,2,3,66.7,6,6,100.0,9,22,40.9,0.0,0,0,0,0,17,14,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,34,35,1,0,0,36,,0,,105,84,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,100.0,True,West Ham Player Stats,Chelsea Player Stats,2.0,2023-2024,GK,,
Nicolas Jackson,15,sn SEN,22,90,0,0,0,0,2,0,1,0,42,3,0,2,0.8,0.8,0.0,2,0,21,31,67.7,1,22,2,3,1,1.0,202,37,15,20,75.0,4,4,100.0,0,0,,0.1,1,1,1,0,28,3,0,0,0,0,0,0,0,0,0,0,2,3,0,2,1,0,0,,0,0,2,3,1,0,1,1,20,21,5,42,33.3,1,33.3,143,76,1,1,1,1,27,9,0,0,1,1,0,0,0,3,2,2,50.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,FW,,
Carney Chukwuemeka,17,eng ENG,19,45,1,0,0,0,1,1,1,0,25,0,0,0,0.1,0.1,0.1,2,2,16,20,80.0,0,17,1,2,1,1.0,199,7,13,15,86.7,2,3,66.7,1,1,100.0,0.0,1,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,2,5,18,6,25,50.0,1,50.0,87,36,2,0,0,0,19,5,0,1,0,0,0,0,0,1,0,2,0.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,AM,,
Mykhailo Mudryk,10,ua UKR,22,45,0,0,0,0,1,0,0,0,27,1,0,0,0.1,0.1,0.1,2,0,16,25,64.0,1,21,4,2,0,0.0,265,64,7,10,70.0,3,5,60.0,3,5,60.0,0.2,2,0,1,1,21,3,0,1,0,7,0,3,1,1,0,1,1,1,0,1,0,0,0,,0,0,0,1,0,0,0,0,7,21,5,27,0.0,0,0.0,138,87,6,2,1,0,21,4,0,0,1,0,0,0,0,2,0,0,,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,WB,AM,
Raheem Sterling,7,eng ENG,28,90,0,0,0,0,1,0,0,0,65,1,0,0,0.1,0.1,0.1,7,0,37,53,69.8,4,51,10,12,6,1.0,396,106,30,35,85.7,4,8,50.0,2,2,100.0,0.2,1,2,4,1,53,0,0,1,0,6,0,0,0,0,0,0,3,1,0,0,1,1,2,50.0,1,0,0,1,0,0,0,2,18,46,13,65,50.0,1,8.3,455,290,4,8,3,5,54,18,0,1,5,1,1,0,0,7,0,1,0.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,AM,FW,
Conor Gallagher,23,eng ENG,23,74,0,0,0,0,2,1,0,0,69,3,2,0,0.1,0.1,0.0,2,0,53,58,91.4,4,45,0,1,1,1.0,774,74,32,33,97.0,19,22,86.4,1,1,100.0,0.0,0,3,0,0,57,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,50.0,1,0,0,5,2,0,5,9,36,25,1,69,100.0,0,0.0,229,68,3,0,1,0,51,2,0,1,0,0,0,0,0,5,1,0,100.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,CM,AM,
Noni Madueke,11,eng ENG,21,16,0,0,0,0,1,1,0,0,15,0,0,0,0.1,0.1,0.0,1,0,9,12,75.0,0,12,2,1,0,0.0,99,16,9,10,90.0,0,1,0.0,0,1,0.0,0.0,0,0,0,0,11,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4,11,3,15,0.0,0,0.0,68,46,0,2,2,0,12,4,0,0,0,0,0,0,0,0,0,1,0.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,WB,FW,
Enzo Fernandez,8,ar ARG,22,90,0,0,0,1,1,0,0,0,124,1,0,2,0.8,0.0,0.3,7,0,101,116,87.1,19,91,7,2,1,1.0,1684,478,46,49,93.9,40,46,87.0,10,15,66.7,0.4,4,12,4,1,106,9,6,3,1,5,1,2,1,0,0,1,0,1,0,1,0,0,1,0.0,1,0,2,1,0,0,0,6,71,49,3,123,50.0,1,50.0,515,307,10,1,1,0,106,2,0,0,1,0,0,0,0,5,0,1,0.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,CM,,
Ben Chilwell,21,eng ENG,26,60,0,0,0,0,2,0,0,0,46,1,0,0,0.2,0.2,0.7,2,0,31,39,79.5,2,25,2,3,1,1.0,409,151,21,21,100.0,5,7,71.4,3,5,60.0,0.5,2,0,1,1,35,4,0,0,0,5,1,3,3,0,0,0,1,1,0,1,0,0,0,,0,0,0,1,1,0,0,3,6,37,5,46,33.3,1,33.3,88,27,0,0,1,1,28,4,0,1,0,0,0,0,0,4,2,0,100.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,WB,,
Moises Caicedo,25,ec ECU,21,30,0,0,0,0,1,0,0,0,46,2,0,0,0.0,0.0,0.0,1,0,33,39,84.6,5,29,1,2,1,0.0,478,190,16,18,88.9,15,17,88.2,0,0,,0.0,0,2,0,0,35,4,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,,0,0,0,2,0,1,0,8,22,16,0,46,50.0,1,50.0,115,58,1,0,1,0,31,0,0,2,2,0,0,1,0,4,1,1,50.0,False,Chelsea Player Stats,West Ham Player Stats,2.0,2023-2024,CM,,
