         2514816 function calls (2495525 primitive calls) in 3.334 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      726    0.002    0.000    0.038    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:2111(clip)
      483    0.001    0.000    0.037    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/series.py:5077(reindex)
      738    0.001    0.000    0.036    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
      490    0.002    0.000    0.036    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/dtypes/astype.py:192(astype_array)
      483    0.003    0.000    0.036    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/generic.py:5044(reindex)
    12889    0.031    0.000    0.035    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/internals/managers.py:1891(__init__)
        2    0.005    0.003    0.035    0.018 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/io/parsers/c_parser_wrapper.py:351(_concatenate_chunks)
      727    0.004    0.000    0.035    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/ops/array_ops.py:60(comp_method_OBJECT_ARRAY)
     5831    0.007    0.000    0.034    0.000 <frozen posixpath>:397(abspath)
     7807    0.022    0.000    0.034    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/io/formats/style_render.py:1873(<listcomp>)
      726    0.002    0.000    0.034    0.000 {method 'clip' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.033    0.033 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/frame.py:10074(merge)
      726    0.005    0.000    0.032    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/numpy/core/_methods.py:127(_clip)
        1    0.000    0.000    0.032    0.032 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/reshape/merge.py:93(merge)
68078/57338    0.023    0.000    0.032    0.000 {built-in method builtins.len}
        3    0.000    0.000    0.032    0.011 <frozen importlib._bootstrap>:1167(_find_and_load)
      730    0.009    0.000    0.032    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/indexers/utils.py:430(check_array_indexer)
        3    0.000    0.000    0.032    0.011 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
     1814    0.003    0.000    0.032    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/frame.py:4274(_get_item_cache)
     1226    0.004    0.000    0.032    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/internals/managers.py:1934(from_array)
        7    0.000    0.000    0.032    0.005 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/internals/managers.py:2319(_consolidate)
     1717    0.010    0.000    0.031    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/internals/blocks.py:2172(new_block)
       20    0.021    0.001    0.031    0.002 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/internals/managers.py:2361(_merge_blocks)
      726    0.013    0.000    0.031    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/internals/blocks.py:941(setitem)
    23475    0.021    0.000    0.030    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/indexing.py:2386(<genexpr>)
     1848    0.006    0.000    0.030    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/common.py:96(is_bool_indexer)
        2    0.000    0.000    0.030    0.015 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pyarrow/pandas_compat.py:348(_get_columns_to_convert)
     5446    0.010    0.000    0.029    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/series.py:661(name)
        1    0.000    0.000    0.029    0.029 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/reshape/merge.py:769(get_result)
8448/8202    0.009    0.000    0.028    0.000 {built-in method builtins.any}
        2    0.000    0.000    0.028    0.014 <frozen importlib._bootstrap>:666(_load_unlocked)
        2    0.000    0.000    0.028    0.014 <frozen importlib._bootstrap_external>:934(exec_module)
       56    0.000    0.000    0.028    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/array_algos/take.py:57(take_nd)
     3448    0.011    0.000    0.027    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/numpy/core/_ufunc_config.py:33(seterr)
     7961    0.013    0.000    0.027    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/dtypes/common.py:1591(_is_dtype_type)
       13    0.000    0.000    0.027    0.002 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/internals/managers.py:689(reindex_indexer)
       56    0.001    0.000    0.027    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
      476    0.006    0.000    0.027    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/dtypes/astype.py:68(astype_nansafe)
      727    0.027    0.000    0.027    0.000 {pandas._libs.ops.scalar_compare}
        1    0.000    0.000    0.026    0.026 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/frame.py:6862(sort_values)
      483    0.001    0.000    0.026    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/apply.py:957(<genexpr>)
    37571    0.019    0.000    0.026    0.000 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/dtypes/generic.py:40(_check)
        1    0.001    0.001    0.025    0.025 /Users/hogan/dev/streamlit_proj_new/pages/1_PL_Data.py:347(<dictcomp>)
        1    0.000    0.000    0.024    0.024 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/groupby/groupby.py:1665(_python_agg_general)
        1    0.000    0.000    0.024    0.024 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/groupby/ops.py:1048(agg_series)
        1    0.001    0.001    0.024    0.024 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/groupby/ops.py:1090(_aggregate_series_pure_python)
        8    0.000    0.000    0.023    0.003 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/generic.py:3894(_take_with_is_copy)
7521/7038    0.006    0.000    0.023    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.023    0.023 /Users/hogan/dev/streamlit_proj_new/new_env/lib/python3.11/site-packages/pandas/core/reshape/merge.py:715(_reindex_and_concat)
