Unnamed: 0,gameweek,date,home_team,home_xg,score,away_xg,away_team,match_report,notes,season,home_score,away_score
306,27,2021-03-06,Sheffield Utd,0.7,0–2,1.9,Southampton,Match Report,,2020,0.0,2.0
307,27,2021-03-06,Aston Villa,0.6,0–0,1.6,Wolves,Match Report,,2020,0.0,0.0
308,27,2021-03-06,Brighton,0.8,1–2,0.9,Leicester City,Match Report,,2020,1.0,2.0
309,27,2021-03-07,West Brom,2.0,0–0,0.5,Newcastle Utd,Match Report,,2020,0.0,0.0
310,27,2021-03-07,Liverpool,0.9,0–1,1.3,Fulham,Match Report,,2020,0.0,1.0
311,27,2021-03-07,Manchester City,1.3,0–2,1.7,Manchester Utd,Match Report,,2020,0.0,2.0
312,27,2021-03-07,Tottenham,2.7,4–1,0.5,Crystal Palace,Match Report,,2020,4.0,1.0
313,27,2021-03-08,Chelsea,2.4,2–0,0.3,Everton,Match Report,,2020,2.0,0.0
314,27,2021-03-08,West Ham,1.8,2–0,1.4,Leeds United,Match Report,,2020,2.0,0.0
316,33,2021-03-10,Manchester City,2.6,5–2,1.6,Southampton,Match Report,,2020,5.0,2.0
318,28,2021-03-12,Newcastle Utd,1.5,1–1,0.9,Aston Villa,Match Report,,2020,1.0,1.0
319,28,2021-03-13,Leeds United,0.4,0–0,1.0,Chelsea,Match Report,,2020,0.0,0.0
320,28,2021-03-13,Crystal Palace,1.2,1–0,0.8,West Brom,Match Report,,2020,1.0,0.0
321,28,2021-03-13,Everton,1.5,1–2,0.8,Burnley,Match Report,,2020,1.0,2.0
322,28,2021-03-13,Fulham,0.3,0–3,2.2,Manchester City,Match Report,,2020,0.0,3.0
323,28,2021-03-14,Southampton,0.6,1–2,0.8,Brighton,Match Report,,2020,1.0,2.0
324,28,2021-03-14,Leicester City,4.0,5–0,0.1,Sheffield Utd,Match Report,,2020,5.0,0.0
325,28,2021-03-14,Arsenal,1.7,2–1,0.4,Tottenham,Match Report,,2020,2.0,1.0
326,28,2021-03-14,Manchester Utd,1.5,1–0,0.6,West Ham,Match Report,,2020,1.0,0.0
327,28,2021-03-15,Wolves,1.1,0–1,0.9,Liverpool,Match Report,,2020,0.0,1.0
329,29,2021-03-19,Fulham,1.6,1–2,1.3,Leeds United,Match Report,,2020,1.0,2.0
330,29,2021-03-20,Brighton,0.9,3–0,0.1,Newcastle Utd,Match Report,,2020,3.0,0.0
331,29,2021-03-21,West Ham,2.4,3–3,1.4,Arsenal,Match Report,,2020,3.0,3.0
333,18,2021-03-21,Aston Villa,0.4,0–2,1.8,Tottenham,Match Report,,2020,0.0,2.0
335,30,2021-04-03,Chelsea,2.1,2–5,1.6,West Brom,Match Report,,2020,2.0,5.0
336,30,2021-04-03,Leeds United,2.4,2–1,1.1,Sheffield Utd,Match Report,,2020,2.0,1.0
337,30,2021-04-03,Leicester City,0.3,0–2,1.4,Manchester City,Match Report,,2020,0.0,2.0
338,30,2021-04-03,Arsenal,0.1,0–3,2.4,Liverpool,Match Report,,2020,0.0,3.0
339,30,2021-04-04,Southampton,2.2,3–2,1.5,Burnley,Match Report,,2020,3.0,2.0
340,30,2021-04-04,Newcastle Utd,3.4,2–2,2.7,Tottenham,Match Report,,2020,2.0,2.0
341,30,2021-04-04,Aston Villa,1.5,3–1,1.0,Fulham,Match Report,,2020,3.0,1.0
342,30,2021-04-04,Manchester Utd,1.5,2–1,1.2,Brighton,Match Report,,2020,2.0,1.0
343,30,2021-04-05,Everton,2.5,1–1,0.7,Crystal Palace,Match Report,,2020,1.0,1.0
344,30,2021-04-05,Wolves,2.1,2–3,1.3,West Ham,Match Report,,2020,2.0,3.0
346,31,2021-04-09,Fulham,0.9,0–1,0.5,Wolves,Match Report,,2020,0.0,1.0
347,31,2021-04-10,Manchester City,2.1,1–2,0.1,Leeds United,Match Report,,2020,1.0,2.0
348,31,2021-04-10,Liverpool,2.3,2–1,0.5,Aston Villa,Match Report,,2020,2.0,1.0
349,31,2021-04-10,Crystal Palace,0.4,1–4,3.1,Chelsea,Match Report,,2020,1.0,4.0
350,31,2021-04-11,Burnley,2.0,1–2,1.2,Newcastle Utd,Match Report,,2020,1.0,2.0
351,31,2021-04-11,West Ham,0.8,3–2,0.9,Leicester City,Match Report,,2020,3.0,2.0
352,31,2021-04-11,Tottenham,0.9,1–3,2.1,Manchester Utd,Match Report,,2020,1.0,3.0
353,31,2021-04-11,Sheffield Utd,0.3,0–3,1.7,Arsenal,Match Report,,2020,0.0,3.0
354,31,2021-04-12,West Brom,3.0,3–0,1.5,Southampton,Match Report,,2020,3.0,0.0
355,31,2021-04-12,Brighton,1.2,0–0,0.4,Everton,Match Report,,2020,0.0,0.0
357,32,2021-04-16,Everton,1.8,2–2,1.4,Tottenham,Match Report,,2020,2.0,2.0
358,32,2021-04-17,Newcastle Utd,2.2,3–2,1.9,West Ham,Match Report,,2020,3.0,2.0
359,32,2021-04-17,Wolves,1.1,1–0,0.5,Sheffield Utd,Match Report,,2020,1.0,0.0
360,32,2021-04-18,Arsenal,2.7,1–1,0.9,Fulham,Match Report,,2020,1.0,1.0
361,32,2021-04-18,Manchester Utd,2.5,3–1,0.9,Burnley,Match Report,,2020,3.0,1.0
362,32,2021-04-19,Leeds United,2.3,1–1,1.4,Liverpool,Match Report,,2020,1.0,1.0
363,32,2021-04-20,Chelsea,0.7,0–0,0.5,Brighton,Match Report,,2020,0.0,0.0
365,29,2021-04-21,Tottenham,1.4,2–1,0.8,Southampton,Match Report,,2020,2.0,1.0
367,32,2021-04-21,Aston Villa,0.7,1–2,1.2,Manchester City,Match Report,,2020,1.0,2.0
368,32,2021-04-22,Leicester City,2.1,3–0,0.5,West Brom,Match Report,,2020,3.0,0.0
370,33,2021-04-23,Arsenal,0.8,0–1,0.5,Everton,Match Report,,2020,0.0,1.0
371,33,2021-04-24,Liverpool,2.4,1–1,1.0,Newcastle Utd,Match Report,,2020,1.0,1.0
372,33,2021-04-24,West Ham,0.4,0–1,2.5,Chelsea,Match Report,,2020,0.0,1.0
373,33,2021-04-24,Sheffield Utd,0.7,1–0,2.0,Brighton,Match Report,,2020,1.0,0.0
374,33,2021-04-25,Wolves,0.4,0–4,2.0,Burnley,Match Report,,2020,0.0,4.0
375,33,2021-04-25,Leeds United,0.3,0–0,1.2,Manchester Utd,Match Report,,2020,0.0,0.0
376,33,2021-04-25,Aston Villa,3.2,2–2,1.5,West Brom,Match Report,,2020,2.0,2.0
377,33,2021-04-26,Leicester City,1.5,2–1,0.7,Crystal Palace,Match Report,,2020,2.0,1.0
379,34,2021-04-30,Southampton,0.9,1–1,1.9,Leicester City,Match Report,,2020,1.0,1.0
380,34,2021-05-01,Crystal Palace,0.9,0–2,1.7,Manchester City,Match Report,,2020,0.0,2.0
381,34,2021-05-01,Brighton,2.3,2–0,0.6,Leeds United,Match Report,,2020,2.0,0.0
382,34,2021-05-01,Chelsea,1.7,2–0,0.3,Fulham,Match Report,,2020,2.0,0.0
383,34,2021-05-01,Everton,1.0,1–2,1.6,Aston Villa,Match Report,,2020,1.0,2.0
384,34,2021-05-02,Newcastle Utd,0.3,0–2,2.0,Arsenal,Match Report,,2020,0.0,2.0
385,34,2021-05-02,Tottenham,2.2,4–0,0.5,Sheffield Utd,Match Report,,2020,4.0,0.0
386,34,2021-05-03,West Brom,1.1,1–1,1.0,Wolves,Match Report,,2020,1.0,1.0
387,34,2021-05-03,Burnley,2.0,1–2,2.3,West Ham,Match Report,,2020,1.0,2.0
389,35,2021-05-07,Leicester City,2.2,2–4,2.7,Newcastle Utd,Match Report,,2020,2.0,4.0
390,35,2021-05-08,Leeds United,2.5,3–1,0.9,Tottenham,Match Report,,2020,3.0,1.0
391,35,2021-05-08,Sheffield Utd,0.7,0–2,2.0,Crystal Palace,Match Report,,2020,0.0,2.0
392,35,2021-05-08,Manchester City,1.8,1–2,0.7,Chelsea,Match Report,,2020,1.0,2.0
393,35,2021-05-08,Liverpool,1.7,2–0,1.1,Southampton,Match Report,,2020,2.0,0.0
394,35,2021-05-09,Wolves,1.1,2–1,0.3,Brighton,Match Report,,2020,2.0,1.0
395,35,2021-05-09,Aston Villa,0.5,1–3,1.7,Manchester Utd,Match Report,,2020,1.0,3.0
396,35,2021-05-09,West Ham,1.3,0–1,1.5,Everton,Match Report,,2020,0.0,1.0
397,35,2021-05-09,Arsenal,0.9,3–1,1.8,West Brom,Match Report,,2020,3.0,1.0
398,35,2021-05-10,Fulham,1.0,0–2,1.5,Burnley,Match Report,,2020,0.0,2.0
400,36,2021-05-11,Manchester Utd,0.2,1–2,0.9,Leicester City,Match Report,,2020,1.0,2.0
402,32,2021-05-11,Southampton,1.2,3–1,1.5,Crystal Palace,Match Report,,2020,3.0,1.0
404,36,2021-05-12,Chelsea,1.8,0–1,0.6,Arsenal,Match Report,,2020,0.0,1.0
406,19,2021-05-13,Aston Villa,0.6,0–0,1.0,Everton,Match Report,,2020,0.0,0.0
408,34,2021-05-13,Manchester Utd,1.9,2–4,2.7,Liverpool,Match Report,,2020,2.0,4.0
410,36,2021-05-14,Newcastle Utd,2.2,3–4,1.5,Manchester City,Match Report,,2020,3.0,4.0
411,36,2021-05-15,Burnley,1.3,0–4,1.5,Leeds United,Match Report,,2020,0.0,4.0
412,36,2021-05-15,Southampton,1.6,3–1,0.8,Fulham,Match Report,,2020,3.0,1.0
413,36,2021-05-15,Brighton,0.8,1–1,1.7,West Ham,Match Report,,2020,1.0,1.0
414,36,2021-05-16,Crystal Palace,1.9,3–2,1.4,Aston Villa,Match Report,,2020,3.0,2.0
415,36,2021-05-16,Tottenham,3.2,2–0,0.9,Wolves,Match Report,,2020,2.0,0.0
416,36,2021-05-16,West Brom,1.0,1–2,1.9,Liverpool,Match Report,,2020,1.0,2.0
417,36,2021-05-16,Everton,1.4,0–1,1.2,Sheffield Utd,Match Report,,2020,0.0,1.0
419,37,2021-05-18,Manchester Utd,0.9,1–1,0.9,Fulham,Match Report,,2020,1.0,1.0
420,37,2021-05-18,Southampton,1.6,0–2,1.7,Leeds United,Match Report,,2020,0.0,2.0
421,37,2021-05-18,Brighton,1.1,3–2,0.9,Manchester City,Match Report,,2020,3.0,2.0
422,37,2021-05-18,Chelsea,3.1,2–1,0.8,Leicester City,Match Report,,2020,2.0,1.0
423,37,2021-05-19,Newcastle Utd,1.6,1–0,0.9,Sheffield Utd,Match Report,,2020,1.0,0.0
424,37,2021-05-19,Tottenham,0.8,1–2,1.4,Aston Villa,Match Report,,2020,1.0,2.0
425,37,2021-05-19,Everton,0.7,1–0,0.3,Wolves,Match Report,,2020,1.0,0.0
426,37,2021-05-19,Crystal Palace,1.0,1–3,1.8,Arsenal,Match Report,,2020,1.0,3.0
427,37,2021-05-19,Burnley,0.8,0–3,2.6,Liverpool,Match Report,,2020,0.0,3.0
428,37,2021-05-19,West Brom,1.1,1–3,3.4,West Ham,Match Report,,2020,1.0,3.0
430,38,2021-05-23,Aston Villa,1.1,2–1,3.3,Chelsea,Match Report,,2020,2.0,1.0
431,38,2021-05-23,Leicester City,1.9,2–4,1.5,Tottenham,Match Report,,2020,2.0,4.0
432,38,2021-05-23,Manchester City,2.5,5–0,1.1,Everton,Match Report,,2020,5.0,0.0
433,38,2021-05-23,Sheffield Utd,0.5,1–0,1.1,Burnley,Match Report,,2020,1.0,0.0
434,38,2021-05-23,Wolves,0.9,1–2,2.0,Manchester Utd,Match Report,,2020,1.0,2.0
435,38,2021-05-23,West Ham,1.3,3–0,1.5,Southampton,Match Report,,2020,3.0,0.0
436,38,2021-05-23,Leeds United,2.3,3–1,1.0,West Brom,Match Report,,2020,3.0,1.0
437,38,2021-05-23,Arsenal,0.8,2–0,0.2,Brighton,Match Report,,2020,2.0,0.0
438,38,2021-05-23,Liverpool,1.6,2–0,0.6,Crystal Palace,Match Report,,2020,2.0,0.0
439,38,2021-05-23,Fulham,1.0,0–2,1.3,Newcastle Utd,Match Report,,2020,0.0,2.0
